File ID;Compressed;part;Min of all measurements;Avg of all measurements;Med of all measurements;Max of all measurements;Upload ID;value;Upload ID;value;Upload ID;value;Upload ID;value;Upload ID;value;Upload ID;value;Upload ID;value;Upload ID;value;Upload ID;value;Upload ID;value
j0.jpg;1;first;82452938;192492956;231982835;262346192;8720914890;82452938;8720930656;138414519;8720930656;231982835;8720940828;262346192;8720956156;247268298;;;;;;;;;;
j0.jpg;1;second;59784;280203;60902;1158806;8720914890;1158806;8720930656;59784;8720930656;60343;8720940828;60902;8720956156;61181;;;;;;;;;;
j1.jpg;1;first;60293696;93432265;62216567;188088709;8720914890;61413392;8720914890;60293696;8720920000;67526460;8720925062;62216567;8720925062;60510204;8720935718;60537303;8720945890;188088709;8720951062;186871796;;;;
j1.jpg;1;second;57829;163428;60902;887264;8720914890;887264;8720914890;60902;8720920000;62019;8720925062;61181;8720925062;58667;8720935718;58666;8720945890;57829;8720951062;60901;;;;
j2.jpg;1;first;92174843;129665362;92667923;204153322;8720914890;92667923;8720914890;92174843;8720930656;204153322;;;;;;;;;;;;;;
j2.jpg;1;second;60064;351814;61181;934197;8720914890;934197;8720914890;60064;8720930656;61181;;;;;;;;;;;;;;
j3.jpg;1;first;75001711;148557242;168887665;262457938;8720920000;76142918;8720925062;75001711;8720925062;77826372;8720935718;231026849;8720940828;168887665;8720956156;262457938;;;;;;;;
j3.jpg;1;second;60064;191551;60901;846476;8720920000;846476;8720925062;60343;8720925062;60901;8720935718;60343;8720940828;60064;8720956156;61181;;;;;;;;
j4.jpg;1;first;40744284;89579890;103647251;129841363;8720914890;40744284;8720920000;41314748;8720930656;103631327;8720940828;129841363;8720940828;103864597;8720951062;104532559;8720951062;89062995;8720956156;103647251;;;;
j4.jpg;1;second;58946;160006;60622;858769;8720914890;858769;8720920000;60622;8720930656;59505;8720940828;60901;8720940828;58946;8720951062;59505;8720951062;59505;8720956156;62299;;;;
j5.jpg;1;first;51220476;125466225;145818533;177146537;8720925062;76421166;8720925062;51220476;8720951062;177146537;8720951062;176724416;8720961343;145818533;;;;;;;;;;
j5.jpg;1;second;57829;250814;62019;1008228;8720925062;1008228;8720925062;57829;8720951062;65371;8720951062;60623;8720961343;62019;;;;;;;;;;
j6.jpg;1;first;19571203;60653239;51568286;113642655;8720920000;20024891;8720940828;51568286;8720945890;113642655;8720951062;19571203;8720956156;98459161;;;;;;;;;;
j6.jpg;1;second;58108;202149;60064;773004;8720920000;773004;8720940828;58946;8720945890;60623;8720951062;58108;8720956156;60064;;;;;;;;;;
j7.jpg;1;first;47356577;105584741;110494490;158903156;8720920000;47356577;8720935718;110494490;8720945890;158903156;;;;;;;;;;;;;;
j7.jpg;1;second;60064;331886;62857;872737;8720920000;872737;8720935718;60064;8720945890;62857;;;;;;;;;;;;;;
j8.jpg;1;first;59113100;126936757;152693429;199935467;8720914890;59113100;8720925062;59494712;8720925062;199935467;8720930656;152693429;8720930656;199779581;8720940828;90604253;;;;;;;;
j8.jpg;1;second;59226;175907;61181;752051;8720914890;752051;8720925062;61181;8720925062;61740;8720930656;59226;8720930656;60901;8720940828;60343;;;;;;;;
j9.jpg;1;first;60580605;146227290;170294828;260819182;8720914890;60580605;8720925062;60961938;8720940828;123568498;8720940828;170294828;8720951062;260819182;8720951062;201138692;;;;;;;;
j9.jpg;1;second;60901;182705;61461;790603;8720914890;790603;8720925062;60902;8720940828;60902;8720940828;60901;8720951062;61461;8720951062;61461;;;;;;;;
p0.pdf;0;first;2266144440;3509998151;3658190915;4358491372;8720925062;3096266425;8720930656;3658190915;8720935718;3511432319;8720935718;2266144440;8720951062;4358491372;8720951062;4169463437;;;;;;;;
p0.pdf;0;second;59784;225913;62019;1047060;8720925062;1047060;8720930656;62019;8720935718;61461;8720935718;61461;8720951062;59784;8720951062;63696;;;;;;;;
p1.pdf;0;first;1663067513;3637758104;3359667499;6047846305;8720920000;2552706280;8720925062;1663067513;8720925062;3257038534;8720930656;3359667499;8720945890;4946222495;8720956156;6047846305;;;;;;;;
p1.pdf;0;second;58387;224376;61181;1043149;8720920000;61460;8720925062;1043149;8720925062;61181;8720930656;60902;8720945890;58387;8720956156;61181;;;;;;;;
p2.pdf;0;first;2755860032;5824273839;5584875452;9347053606;8720920000;2806834667;8720920000;2755860032;8720920000;5542909225;8720925062;4949625441;8720930656;5584875452;8720940828;5535207687;8720940828;6032660296;8720940828;9161821126;8720951062;6525890860;8720961343;9347053606
p2.pdf;0;second;60901;171949;61739;1162718;8720920000;1162718;8720920000;61461;8720920000;61739;8720925062;61181;8720930656;62299;8720940828;60901;8720940828;61460;8720940828;64254;8720951062;61461;8720961343;62019
p3.pdf;0;first;3373565635;4200685352;4331044868;5139046722;8720935718;3959084186;8720935718;3373565635;8720945890;4331044868;8720961343;5139046722;;;;;;;;;;;;
p3.pdf;0;second;60901;9048286;65372;36005693;8720935718;36005693;8720935718;61181;8720945890;60901;8720961343;65372;;;;;;;;;;;;
p4.pdf;0;first;4118250784;5360144934;5805472483;6760639411;8720930656;5805472483;8720930656;6760639411;8720935718;4118250784;8720935718;4285945560;8720951062;5830416436;;;;;;;;;;
p4.pdf;0;second;61181;273777;61181;1123606;8720930656;61181;8720930656;61181;8720935718;1123606;8720935718;61740;8720951062;61181;;;;;;;;;;
p5.pdf;0;first;2272788860;4905066643;6229276905;8317483367;8720914890;2275539210;8720914890;2272788860;8720920000;2320272269;8720925062;2321947343;8720940828;6319062897;8720940828;6638372474;8720940828;7450856463;8720945890;8317483367;8720961343;6229276905;;
p5.pdf;0;second;58946;167618;61181;997054;8720914890;997054;8720914890;83251;8720920000;60622;8720925062;63136;8720940828;61181;8720940828;60622;8720940828;60622;8720945890;58946;8720961343;63136;;
p6.pdf;0;first;2340734925;5005677188;7366066358;7789681370;8720935718;2526226099;8720940828;2340734925;8720951062;7789681370;8720956156;7366066358;;;;;;;;;;;;
p6.pdf;0;second;59225;41684767;61181;166557481;8720935718;61181;8720940828;61181;8720951062;59225;8720956156;166557481;;;;;;;;;;;;
p7.pdf;0;first;2072774333;3603410000;4312215379;5086969433;8720914890;2072774333;8720925062;2941680856;8720935718;4312215379;8720951062;5086969433;;;;;;;;;;;;
p7.pdf;0;second;61181;321758;61460;1103213;8720914890;1103213;8720925062;61181;8720935718;61460;8720951062;61181;;;;;;;;;;;;
p8.pdf;0;first;2538832450;4479448458;4001027226;7688643669;8720930656;2660428909;8720930656;3001524495;8720930656;7688643669;8720935718;6986234004;8720935718;2538832450;8720940828;4001027226;;;;;;;;
p8.pdf;0;second;60902;241325;62019;1139530;8720930656;1139530;8720930656;60902;8720930656;61181;8720935718;63416;8720935718;62019;8720940828;60902;;;;;;;;
p9.pdf;0;first;2593473472;5784242503;5478672569;9503073714;8720925062;2593473472;8720930656;5155835169;8720930656;7674633787;8720935718;9503073714;8720935718;4299766311;8720945890;5478672569;;;;;;;;
p9.pdf;0;second;60064;245375;61181;1164952;8720925062;1164952;8720930656;60901;8720930656;61181;8720935718;60064;8720935718;63974;8720945890;61181;;;;;;;;
