First platform;KLAUS_ACER;KLAUS_ACER;KLAUS_ACER;MICHAEL_LENOVO;MICHAEL_LENOVO;MICHAEL_LENOVO;MICHAEL_TOSHIBA;MICHAEL_TOSHIBA;MICHAEL_TOSHIBA;SDQ_LENOVO;SDQ_LENOVO;SDQ_LENOVO;
Second platform;MICHAEL_LENOVO;MICHAEL_TOSHIBA;SDQ_LENOVO;KLAUS_ACER;MICHAEL_TOSHIBA;SDQ_LENOVO;KLAUS_ACER;MICHAEL_LENOVO;SDQ_LENOVO;KLAUS_ACER;MICHAEL_LENOVO;MICHAEL_TOSHIBA;
AALOAD;1.055666003976143;0.6555555555555556;0.7763157894736842;0.9472693032015067;0.6209876543209877;0.7353801169590644;1.5254237288135595;1.610337972166998;1.1842105263157894;1.288135593220339;1.3598409542743537;0.8444444444444444;
ALOAD;1.0742705570291777;2.066326530612245;2.076923076923077;0.9308641975308642;1.9234693877551021;1.9333333333333333;0.4839506172839506;0.519893899204244;1.005128205128205;0.4814814814814815;0.5172413793103449;0.9948979591836735;
ARRAYLENGTH;1.527363184079602;0.4398280802292263;0.5612431444241316;0.6547231270358306;0.2879656160458452;0.36745886654478976;2.273615635179153;3.4726368159203984;1.2760511882998173;1.781758957654723;2.721393034825871;0.7836676217765042;
ASTORE;1.0;0.5370843989769821;0.6017191977077364;1.0;0.5370843989769821;0.6017191977077364;1.861904761904762;1.861904761904762;1.1203438395415473;1.661904761904762;1.661904761904762;0.8925831202046036;
BALOAD;1.0802292263610314;0.4498806682577565;0.5401146131805157;0.9257294429708224;0.41646778042959426;0.5;2.222811671087533;2.4011461318051577;1.2005730659025788;1.8514588859416448;2.0;0.8329355608591885;
ICONST_0;1.0;0.8571428571428571;1.2;1.0;0.8571428571428571;1.2;1.1666666666666667;1.1666666666666667;1.4000000000000001;0.8333333333333333;0.8333333333333333;0.7142857142857143;
ICONST_1;1.0;0.8571428571428571;1.2;1.0;0.8571428571428571;1.2;1.1666666666666667;1.1666666666666667;1.4000000000000001;0.8333333333333333;0.8333333333333333;0.7142857142857143;
ICONST_M1;1.0;0.8571428571428571;1.2;1.0;0.8571428571428571;1.2;1.1666666666666667;1.1666666666666667;1.4000000000000001;0.8333333333333333;0.8333333333333333;0.7142857142857143;
IF_ICMPLT;1.0;1.0;0.8;1.0;1.0;0.8;1.0;1.0;0.8;1.25;1.25;1.25;
IF_ICMPNE;1.0;1.0;0.8;1.0;1.0;0.8;1.0;1.0;0.8;1.25;1.25;1.25;
IINC;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;
ILOAD;1.1333333333333333;1.2142857142857142;0.7414330218068536;0.8823529411764707;1.0714285714285714;0.6542056074766356;0.823529411764706;0.9333333333333332;0.6105919003115264;1.3487394957983194;1.5285714285714285;1.6377551020408163;
NEWARRAY;0.9823626373626373;0.71516;0.8126818181818182;1.0179540242742884;0.728;0.8272727272727273;1.3982884948822643;1.3736263736263736;1.1363636363636365;1.2304938754963926;1.2087912087912087;0.88;
SIPUSH;1.0;0.6666666666666666;1.0;1.0;0.6666666666666666;1.0;1.5;1.5;1.5;1.0;1.0;0.6666666666666666;
