Upload ID;File ID;is compressed;first meas.;second meas.
8842900328;all;-1;4,392,206,272;-1
8842900328;j0.jpg;1;78,527,299;9219
8842900328;j1.jpg;1;18,641,475;3632
8842900328;j8.jpg;1;4,543,035;3353
8842900328;p5.pdf;0;411,894,808;4190
8842900328;j4.jpg;1;2,665,143;3073
8842900328;p5.pdf;0;368,928,453;3911
8842900328;j2.jpg;1;5,806,045;2794
8842900328;j1.jpg;1;3,827,581;3073
8842900328;j9.jpg;1;3,809,702;2793
8842900328;p7.pdf;0;222,127,393;3911
8842900328;j2.jpg;1;5,903,544;3073
8842900328;p0.pdf;0;178,141,915;3353
8842900328;j6.jpg;1;1,292,622;3073
8842900328;p2.pdf;0;238,439,522;3911
8842900328;j4.jpg;1;2,671,568;3073
8842900328;j7.jpg;1;4,729,372;3073
8842900328;j3.jpg;1;4,900,902;4750
8842900328;p2.pdf;0;238,722,239;4191
8842900328;p5.pdf;0;246,498,089;4470
8842900328;j1.jpg;1;3,891,277;3073
8842900328;p1.pdf;0;184,934,119;4469
8842900328;p2.pdf;0;1,185,841,496;3912
8842900328;p6.pdf;0;258,844,350;4191
8842900328;j8.jpg;1;3,825,626;2793
8842900328;j1.jpg;1;3,977,600;3632
8842900328;j5.jpg;1;3,330,591;3073
8842900328;j3.jpg;1;4,825,753;3073
8842900328;p1.pdf;0;184,385,725;3912
8842900328;p9.pdf;0;289,382,868;3912
8842900328;j9.jpg;1;3,889,042;2794
8842900328;p7.pdf;0;222,788,651;4470
